Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
UGCA442_rotmod,0.5034200333536664,0.0006897746119152193,                 2.2357131154263987,1.0,2.8647946796093216e-06 
UGC04305_rotmod,1.552163812928533,1.7854175426860506e-14,                 0.8755215319984063,1.0,3.618760298237866e-06 
NGC2841_rotmod,1.2486149717628272,2.471599311363228e-06,                 0.9465944977681099,1.0957022026506602,3.985111620249881e-06 
UGC07232_rotmod,0.21873633484652777,0.003840369376006398,                 0.785402642490305,1.0,2.3682255868199998e-06 
NGC4068_rotmod,0.129187633074088,0.003445327994746343,                 0.781754810104562,1.0,2.6562252603554394e-06 
D564-8_rotmod,0.038569978425180854,0.011089409944100266,                 1.1661261694168077,1.0,2.6562252603554394e-06 
NGC0024_rotmod,0.6820997352171764,2.4846439198996035e-05,                 1.381191489466,1.0,3.743967144766226e-06 
DDO168_rotmod,2.973705416056844,0.0038518572697990652,                 0.6010981012969966,1.0,3.065057007881928e-06 
D631-7_rotmod,0.2554109841914732,0.007515129637562087,                 0.12155826520037724,1.0,3.392034252601659e-06 
UGC01281_rotmod-Copy1,0.2948562173337389,0.0015314834382333545,                 1.3942247866853683,1.0,3.681322409857878e-06 
NGC2976_rotmod,0.4084347079519343,9.645843568563325e-05,                 0.9040978032317978,1.0,3.7125273763091643e-06 
NGC6946_rotmod,1.686479268056768,6.240148434957662e-06,                 0.6435025890462001,0.5542195684402975,4.032308821953264e-06 
NGC7331_rotmod,0.9170679370498925,5.232477477080738e-06,                 0.5374269027036679,1.1235686113945522,3.877713734514092e-06 
NGC5907_rotmod,6.431399430248307,5.024920603214671e-06,                 0.9423535870962705,1.0,3.4926067951406126e-06 
NGC3198_rotmod,1.6269684899421057,2.1277222695602606e-05,                 0.8727337724640943,1.0,3.935691023684328e-06 
NGC0891_rotmod,2.889681006098714,6.634457403735033e-06,                 0.4054563877929534,0.7443058447444344,3.4685488224002466e-06 
NGC3741_rotmod,0.5689472637503872,0.019287623258875203,                 0.6527945578091132,1.0,3.558005140268911e-06 
NGC0247_rotmod,1.9424379568311225,2.0189309670112587e-05,                 1.5245743876879778,1.0,3.694658858819989e-06 
UGC07524_rotmod,1.317191252985464,9.23772020254932e-05,                 1.5697067067387391,1.0,3.7727107017916375e-06 
UGC07151_rotmod,0.9116883977135299,8.148831897634947e-05,                 1.1444380237287335,1.0,3.1310131610425587e-06 
UGC04483_rotmod,0.2876817507395805,0.0025226168113152685,                 1.2237158014654073,1.0,2.8647946796093216e-06 
NGC0055_rotmod,2.29621400055765,0.00028513785330977557,                 0.9954019514894468,1.0,3.558005140268911e-06 
NGC2403_rotmod,10.35448424068854,5.124667151556765e-05,                 0.8478584845288942,1.0,4.103703637097236e-06 
ESO444-G084_rotmod,0.33325817143270614,0.001270998737288514,                 1.7785403986491908,1.0,2.7697701267296215e-06 
NGC6789_rotmod,0.17241057748496438,0.002070795742329515,                 1.3527545883853265,1.0,2.3682255868199998e-06 
UGC08490_rotmod,0.12352108654776198,0.00011077801643683318,                 1.233156914510559,1.0,3.7576123992122394e-06 
UGC07559_rotmod,0.11222804842093659,0.0026731528136237207,                 0.9513925465969802,1.0,2.7697701267296215e-06 
NGC2915_rotmod,0.5561112138009178,0.002862171783371028,                 0.5079529836538702,1.0,3.7576123992122394e-06 
NGC5055_rotmod,5.965473373856845,4.755372284768578e-06,                 0.6221256024740476,1.0,3.729889199668195e-06 
NGC6503_rotmod,1.1882452530689518,4.564624131253579e-05,                 0.7324689993134083,1.0,3.7727107017916375e-06 
PGC51017_rotmod,1.1562586021376158,8.069879316772003e-14,                 0.8004541047313517,1.0,2.6562252603554394e-06 
NGC1705_rotmod,0.13526283639460604,0.00010095485497326174,                 1.1986390467030024,1.0,3.3099192613718044e-06 
UGC07577_rotmod,0.038178134874364125,0.011158392801456318,                 0.6585274278052375,1.0,2.9716371906492047e-06 
NGC0300_rotmod,0.3691804906352479,0.00022921716702847762,                 1.1246477995268698,1.0,3.681322409857878e-06 
NGC7793_rotmod,0.6906309683265791,3.286767000565014e-05,                 0.8810478535141363,1.0,3.958659388027099e-06 
NGC4214_rotmod,1.0048181609043505,0.00011409970037840156,                 0.987489659437735,1.0,3.3099192613718044e-06 
UGC08837_rotmod,0.4170447383398037,0.0036563302930276123,                 0.7706299767037649,1.0,2.8647946796093216e-06 
UGC07866_rotmod,0.0423702875751862,0.0008040424145596451,                 1.2490586338877634,1.0,2.7697701267296215e-06 
UGC08286_rotmod,2.2450879971862876,9.391628752580079e-05,                 1.6473967636428812,1.0,3.426909797106068e-06 
NGC2683_rotmod,0.7357119262103974,4.063914199925259e-06,                 0.8852276749722664,0.4333579833569565,3.1310131610425587e-06 
IC2574_rotmod,1.9679913791945491,0.0023167938335175715,                 1.0920579213184618,1.0,3.856421041674189e-06 
UGCA444_rotmod,0.08874362234180976,0.0010825412520662767,                 3.696642396385941,1.0,3.877713734514092e-06 
NGC3109_rotmod,0.24224133371744752,0.00171949990230713,                 2.0199418015263166,1.0,3.681322409857878e-06 
DDO154_rotmod,7.512163398542317,0.004373191681614386,                 1.1250637915928137,1.0,3.1919951620190414e-06 
UGCA281_rotmod,0.1556835000922672,0.0007805617511243301,                 1.2165101262132836,1.0,2.7697701267296215e-06 
CamB_rotmod,0.2063496447819812,0.05554109004534428,                 3.99075440866513e-06,1.0,2.9716371906492047e-06 
NGC7814_rotmod,0.6197474755075112,3.903168346220939e-06,                 0.3896731794486852,0.6592487289743614,3.4685488224002466e-06 
NGC2366_rotmod,1.94768537095533,0.0011516549860634598,                 1.0391463882610763,1.0,3.694658858819989e-06 
